Scheme,Customer Count
Awoonga Callide Pipeline,48
Barker Barambah,377
Bowen Broken Rivers,134
Boyne River and Tarong,327
Bundaberg,2420
Burdekin Haughton,899
Callide Valley,240
Chinchilla Weir,94
Cunnamulla,44
Dawson Valley,379
Eton,682
Julius Dam,12
Lower Fitzroy,71
Lower Mary River,336
Macintyre Brook,201
Maranoa River,8
Mareeba Dimbulah,2264
Nogoa Mackenzie,944
Pioneer River,37
Proserpine River,194
St George,371
Three Moon Creek,182
Upper Burnett,293
Upper Condamine,199
