Scheme,Offtake Count
Barker Barambah,239
Bowen Broken,112
Boyne River & Tarong,178
Bundaberg,1906
Burdekin Haughton,1115
Callide Valley,220
Chinchilla Weir,36
Cunnamulla,11
Dawson Valley,150
Eton,12
Eungella Water PL (External),1
Julius,2
Lower Fitzroy,25
Lower Mary River,203
Macintyre Brook,120
Maranoa River,1
Mareeba Dimbulah,1373
Nogoa Mackenzie,277
Non-scheme,177
Pioneer River,19
Proserpine River,152
St George,87
Three Moon Creek,160
Upper Burnett Supply,225
Upper Condamine Supply,111
#N/A,1175
